127.0.0.1 - - [16/May/2022:11:25:29 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [16/May/2022:11:25:31 +0700] "GET /CNPM/ HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [16/May/2022:11:25:33 +0700] "GET /favicon.ico HTTP/1.1" 404 684
0:0:0:0:0:0:0:1 - - [16/May/2022:11:25:40 +0700] "GET /CNPM/QuanLy/QL_TrangChu.html HTTP/1.1" 200 19636
0:0:0:0:0:0:0:1 - - [16/May/2022:11:25:41 +0700] "GET /CNPM/resources/assets/vendor/quill/quill.bubble.css;jsessionid=BE41AC06ECE57A26D2452C2C3FCAE07C HTTP/1.1" 200 25309
0:0:0:0:0:0:0:1 - - [16/May/2022:11:25:41 +0700] "GET /CNPM/resources/assets/vendor/bootstrap/css/bootstrap.min.css;jsessionid=BE41AC06ECE57A26D2452C2C3FCAE07C HTTP/1.1" 200 164051
0:0:0:0:0:0:0:1 - - [16/May/2022:11:25:41 +0700] "GET /CNPM/resources/assets/vendor/quill/quill.snow.css;jsessionid=BE41AC06ECE57A26D2452C2C3FCAE07C HTTP/1.1" 200 24778
0:0:0:0:0:0:0:1 - - [16/May/2022:11:25:41 +0700] "GET /CNPM/resources/assets/vendor/simple-datatables/style.css;jsessionid=BE41AC06ECE57A26D2452C2C3FCAE07C HTTP/1.1" 200 3079
0:0:0:0:0:0:0:1 - - [16/May/2022:11:25:41 +0700] "GET /CNPM/resources/assets/vendor/bootstrap-icons/bootstrap-icons.css;jsessionid=BE41AC06ECE57A26D2452C2C3FCAE07C HTTP/1.1" 200 73348
0:0:0:0:0:0:0:1 - - [16/May/2022:11:25:41 +0700] "GET /CNPM/resources/assets/vendor/remixicon/remixicon.css;jsessionid=BE41AC06ECE57A26D2452C2C3FCAE07C HTTP/1.1" 200 110554
0:0:0:0:0:0:0:1 - - [16/May/2022:11:25:41 +0700] "GET /CNPM/resources/assets/vendor/boxicons/css/boxicons.min.css;jsessionid=BE41AC06ECE57A26D2452C2C3FCAE07C HTTP/1.1" 200 65833
0:0:0:0:0:0:0:1 - - [16/May/2022:11:25:41 +0700] "GET /CNPM/resources/assets/css/style.css;jsessionid=BE41AC06ECE57A26D2452C2C3FCAE07C HTTP/1.1" 200 21185
